Process2,Time
506,0.848945
507,0.668285
508,0.87832
509,0.804713
510,0.769837
511,0.764584
512,0.787514
513,0.755982
514,0.889337
515,0.932902
516,0.835306
517,0.694558
518,0.844953
519,0.762985
520,0.769495
521,1.009757
522,1.029358
523,0.954439
524,0.748587
525,0.86707
526,0.577309
527,1.826079
528,0.866837
529,0.73012
530,0.904939
531,0.877703
532,1.321463
533,0.808716
534,0.848319
535,0.927561
536,1.048415
537,1.096497
538,1.118731
539,0.695386
540,1.124923
541,0.751672
542,0.545174
543,0.758826
544,0.925105
545,0.776026
546,0.825362
547,0.81684
548,0.7152
549,1.056379
550,1.216883
551,0.958334
552,1.048571
553,0.889288
554,0.960208
555,0.619594
556,1.178671
557,0.60447
558,0.888315
559,1.007402
560,0.756007
561,0.743597
562,0.713303
563,0.735433
564,0.854338
565,1.106362
566,0.544364
567,0.504564
568,0.659287
569,0.608352
570,0.716533
571,0.591955
572,0.598928
573,0.884195
574,0.880245
575,1.52783
576,1.138057
577,0.715901
578,0.709999
579,0.816199
580,0.824879
581,0.822822
582,0.774548
583,0.758434
584,2.734812
585,0.869808
586,0.908359
587,0.893014
588,0.986989
589,0.768113
590,0.696412
591,0.609588
592,0.563027
593,0.663692
594,0.44763
595,1.240399
596,1.086847
597,0.716878
598,0.590019
599,0.781403
600,0.864022
601,0.809961
602,0.757176
603,0.810474
604,0.785888
605,0.796533
606,0.69536
607,0.783543
608,1.325577
609,0.785778
610,0.726847
611,0.627469
612,0.667414
613,0.702989
614,0.987643
615,0.967176
616,0.9436
617,0.759156
618,0.770689
619,0.937652
620,1.061044
621,0.788407
622,0.711255
623,0.561225
624,0.618351
625,1.28736
626,0.87207
627,1.21578
628,0.958183
629,1.639144
630,0.644678
631,0.844281
632,0.770212
633,0.57698
634,1.040988
635,1.188654
636,0.777369
637,1.492314
638,1.545928
639,1.366926
640,0.75386
641,0.660512
642,1.490288
643,0.82883
644,0.967791
645,0.996264
646,0.975593
647,0.710599
648,1.159189
649,0.836676
650,0.801436
651,0.598755
652,0.476267
653,0.579899
654,0.649832
655,0.929618
656,0.90758
657,0.896618
658,0.798256
659,12.512663
660,1.035285
661,1.470776
662,1.685655
663,1.426056
664,1.709479
665,1.126999
666,1.186087
667,2.019012
668,1.328035
669,1.025134
670,1.013446
671,0.850279
672,0.732968
673,1.49871
674,1.580066
675,1.087484
676,0.64943
677,0.959366
678,1.341699
679,0.794558
680,1.300919
681,0.655169
682,0.692395
683,0.611442
684,0.538534
685,1.52943
686,0.905663
687,1.233457
688,0.663001
689,0.614139
690,0.816904
691,0.831088
692,1.120283
693,0.807377
694,0.76751
695,0.646799
696,0.781927
697,0.628647
698,0.732213
699,0.628236
700,1.053291
701,0.943471
702,0.845729
703,0.697031
704,0.704107
705,1.220943
706,1.167875
707,0.664534
708,0.896331
709,0.790809
710,8.783782
711,1.006018
712,1.209536
713,1.044206
714,1.008179
715,0.811996
716,0.912449
717,0.843058
718,1.04649
719,0.962368
720,0.498809
721,0.82828
722,0.859
723,2.58197
724,0.733124
725,1.243535
726,0.883726
727,0.96077
728,0.959128
729,0.709528
730,0.864929
731,0.76999
732,0.808801
733,0.906689
734,0.962517
735,0.578352
736,0.759759
737,0.937024
738,0.945242
739,0.94275
740,1.343138
741,0.656221
742,1.301499
743,1.480735
744,0.679664
745,0.87039
746,0.933818
747,0.747215
748,0.733646
749,0.703486
750,0.705723
751,0.877539
752,0.816563
753,0.836399
754,0.650994
755,0.771183
756,0.960263
757,0.761367
758,0.788916
759,0.632627
760,1.096587
761,0.583077
762,0.596333
763,0.818499
764,0.652514
765,4.729279
766,0.897404
767,0.892725
768,0.879356
769,0.894736
770,0.806761
771,0.78864
772,0.853772
773,1.228935
774,1.19189
775,0.619065
776,0.758817
777,1.159592
778,0.785995
779,0.729728
780,0.582226
781,0.977714
782,0.676485
783,0.690939
784,1.098948
785,0.634361
786,0.544549
787,0.639724
788,0.608203
789,0.706746
790,0.678825
791,0.874652
792,4.416066
793,1.33948
794,1.039883
795,0.528767
796,0.512071
797,0.546947
798,0.862441
799,0.464308
800,0.551336
801,1.681365
802,1.228953
803,0.61297
804,0.921399
805,1.911292
806,0.981384
807,0.770762
808,0.689434
809,0.581738
810,0.618424
811,0.687846
812,0.726039
813,0.523717
814,1.392073
815,0.575915
816,0.546643
817,0.598349
818,1.370965
819,1.221334
820,0.910906
821,0.629812
822,0.615252
823,0.627994
824,0.542938
825,0.873058
826,0.820699
827,1.200441
828,0.65241
829,0.521382
830,0.669761
831,0.932871
832,1.275404
833,1.715958
834,1.07145
835,1.317011
836,0.755157
837,4.335422
838,0.819602
839,0.55088
840,0.573728
841,0.541114
842,0.620797
843,0.950074
844,1.586681
845,1.76676
846,0.789917
847,1.548619
848,1.649262
849,1.518006
850,1.46925
851,0.981383
852,1.234114
853,1.345689
854,0.825424
855,0.938469
856,0.790912
857,10.538429
858,1.195299
859,0.8452
860,1.733023
861,2.125017
862,1.16768
863,1.03643
864,1.082888
865,1.27756
866,1.223082
867,1.782364
868,1.883113
869,1.356083
870,1.582726
871,1.490871
872,0.859068
873,1.290802
874,1.393261
875,1.561457
876,1.45285
877,1.864693
878,0.960651
879,0.99951
880,1.552756
881,1.046836
882,0.905142
883,0.678193
884,0.62069
885,0.733686
886,1.028277
887,1.129593
888,0.83691
889,1.127905
890,1.469601
891,0.732306
892,1.777859
893,1.590022
894,1.368782
895,1.561019
896,0.935605
897,0.9465
898,1.098682
899,0.60297
900,0.531968
901,0.753971
902,0.76581
903,1.071979
904,1.017688
905,1.421843
906,1.708084
907,1.394211
908,0.921213
909,1.415069
910,0.614039
911,1.266767
912,0.970717
913,0.783378
914,0.886309
915,0.600693
916,0.602956
917,0.534302
918,0.855911
919,0.85544
920,0.900014
921,1.723383
922,0.569751
923,0.685071
924,1.061176
925,1.680533
926,1.274652
927,1.767264
928,1.251276
929,1.280545
930,0.696652
931,0.515948
932,0.749813
933,1.668441
934,0.76842
935,0.83274
936,1.140666
937,1.12052
938,0.861094
939,0.868959
940,0.604984
941,0.773742
942,0.549369
943,2.071662
944,1.272796
945,1.035911
946,1.10359
947,1.107422
948,1.362831
949,2.061181
950,1.216223
951,1.372387
952,0.980942
953,1.283228
954,3.760139
955,1.312686
956,1.746418
957,1.714379
958,1.116209
959,0.766351
960,0.710642
961,1.339837
962,0.576101
963,0.958931
964,0.941402
965,1.441409
966,1.620821
967,1.133203
968,2.078171
969,1.45548
970,1.699177
971,1.236898
972,0.875096
973,0.80698
974,0.805206
975,1.254747
976,1.456604
977,1.175371
978,1.077833
979,1.092478
980,1.487864
981,1.750224
982,1.208082
983,0.703742
984,0.730362
985,1.098544
986,1.595753
987,1.444357
988,1.489265
989,0.613738
990,0.520415
991,0.451061
992,0.615912
993,0.582152
994,0.749197
995,0.711889
996,0.74789
997,0.661115
998,0.57248
999,0.636656
1000,0.657116
