date,close
1,1.498344
2,1.266987
3,1.173381
4,0.794302
5,0.823881
6,1.099855
7,0.93961
8,1.075379
9,0.996394
10,0.896597
11,1.254189
12,0.884153
13,1.448947
14,1.124401
15,0.907524
16,0.954628
17,1.007688
18,1.350592
19,0.996185
20,0.975546
21,1.390615
22,1.371077
23,1.515532
24,1.496926
25,1.157937
26,1.768652
27,0.936666
28,1.185594
29,1.17118
30,2.801501
31,1.347004
32,1.651021
33,1.020325
34,0.839756
35,1.198726
36,0.943304
37,1.026167
38,0.974138
39,1.556007
40,0.803191
41,0.842574
42,0.762382
43,0.938209
44,0.782147
45,6.141801
46,0.684315
47,0.886532
48,0.8335
49,0.784091
50,0.853413
51,0.80798
52,0.79488
53,0.814316
54,0.643215
55,0.897302
56,0.889
57,0.688768
58,0.580749
59,0.899356
60,0.830365
61,0.681415
62,0.582864
63,0.664973
64,0.962032
65,0.825836
66,1.09812
67,1.202342
68,1.267054
69,0.945797
70,0.92247
71,0.958459
72,0.873211
73,0.877906
74,0.883402
75,0.766636
76,0.982144
77,1.071578
78,1.086248
79,1.021755
80,1.044589
81,1.037969
82,1.407139
83,0.822469
84,0.794544
85,0.773134
86,0.748196
87,0.864337
88,1.015956
89,0.989158
90,1.130699
91,0.936946
92,0.993996
93,1.018945
94,0.833994
95,0.894941
96,0.974948
97,1.048775
98,0.736242
99,1.068288
100,1.056157
101,1.365553
102,1.23399
103,1.331093
104,0.898118
105,0.928791
106,1.123862
107,0.785005
108,0.722521
109,1.01315
110,0.893757
111,1.187595
112,1.265425
113,0.97414
114,0.834524
115,1.080971
116,1.202532
117,1.197197
118,0.84752
119,0.770638
120,1.011525
121,1.143131
122,1.576531
123,0.889804
124,0.703808
125,0.963125
126,0.994915
127,1.122623
128,1.526021
129,1.364531
130,0.81691
131,0.98522
132,1.031419
133,1.79185
134,1.005078
135,0.900414
136,0.884459
137,0.945367
138,1.048726
139,3.226109
140,0.947679
141,1.012136
142,0.950665
143,1.041003
144,0.919518
145,1.043975
146,1.157525
147,1.213773
148,1.520606
149,1.07751
150,0.70646
151,0.998564
152,0.989512
153,0.996895
154,1.021502
155,0.968071
156,1.016379
157,1.144571
158,0.922791
159,0.816683
160,0.838444
161,1.316289
162,0.938061
163,0.846208
164,0.797235
165,0.748685
166,0.858409
167,0.841083
168,0.787811
169,1.211699
170,0.880919
171,0.789634
172,0.867983
173,0.792544
174,1.177387
175,1.097806
176,0.916568
177,1.695248
178,0.967867
179,0.953815
180,0.965736
181,1.123227
182,0.983508
183,0.962772
184,0.980123
185,0.931833
186,0.883691
187,0.817324
188,0.601036
189,0.636212
190,0.700246
191,0.985206
192,0.783082
193,0.948643
194,0.942837
195,1.05281
196,1.13893
197,0.893458
198,0.851229
199,0.852201
200,0.87045
201,0.712106
202,0.721511
203,0.686023
204,0.907075
205,0.997528
206,1.152626
207,0.904952
208,2.531169
209,1.2414
210,1.115281
211,1.414084
212,1.10723
213,0.856696
214,0.716665
215,1.175957
216,1.006003
217,0.701968
218,0.813775
219,0.850257
220,1.279915
221,0.877538
222,0.68105
223,0.738156
224,0.984476
225,0.824074
226,0.767649
227,0.758726
228,0.853685
229,0.852519
230,1.196866
231,7.052486
232,3.69219
233,0.933403
234,0.825147
235,0.851124
236,0.927145
237,0.890917
238,0.962895
239,0.950548
240,0.644804
241,0.788083
242,0.817301
243,1.051507
244,0.927966
245,0.88094
246,0.890869
247,0.695345
248,0.770001
249,0.753867
250,1.170495
251,0.985203
252,0.981307
253,0.911538
254,0.956472
255,0.783729
256,0.858798
257,0.880814
258,0.713373
259,0.555582
260,0.819372
261,0.924576
262,1.216102
263,0.953067
264,0.893009
265,1.372444
266,0.742724
267,0.696611
268,0.77021
269,0.712312
270,0.794039
271,0.578122
272,0.913951
273,0.672217
274,0.656305
275,0.587261
276,0.58326
277,0.626056
278,0.699708
279,0.753127
280,0.968274
281,0.879757
282,0.659183
283,0.665505
284,1.548756
285,0.901555
286,0.669179
287,0.628029
288,0.443855
289,0.762796
290,0.651877
291,0.776377
292,0.632582
293,0.588152
294,0.815744
295,0.809033
296,0.76165
297,0.597514
298,0.801808
299,0.912135
300,0.748959
301,0.817791
302,0.766755
303,0.83161
304,0.818477
305,1.033507
306,0.800939
307,0.769964
308,0.975795
309,2.28632
310,0.880406
311,0.984739
312,0.906719
313,1.246145
314,0.775741
315,1.072877
316,0.862307
317,0.826326
318,0.722225
319,0.528618
320,0.814318
321,0.78133
322,0.692311
323,0.614195
324,0.673018
325,0.601618
326,0.882482
327,0.70669
328,0.799142
329,0.754768
330,0.678876
331,0.572365
332,0.821034
333,0.761784
334,0.825825
335,0.906581
336,0.856514
337,0.796628
338,0.771516
339,1.020735
340,1.134871
341,0.858119
342,0.918671
343,0.771571
344,0.694277
345,0.629797
346,0.653025
347,0.58496
348,0.786794
349,0.69095
350,0.70049
351,0.708706
352,0.654571
353,0.633773
354,0.694174
355,0.602088
356,0.797855
357,0.719855
358,0.691681
359,0.786818
360,0.600207
361,0.584208
362,0.676744
363,0.665753
364,0.774107
365,0.806063
366,0.612874
367,0.612789
368,0.765492
369,0.749546
370,0.779903
371,0.627664
372,0.866801
373,0.712064
374,0.713938
375,0.665633
376,0.813645
377,0.78533
378,0.735719
379,0.782634
380,0.917803
381,0.678063
382,0.773127
383,0.8627
384,0.921307
385,0.633854
386,0.834188
387,0.658494
388,0.841927
389,0.856367
390,0.928488
391,0.761286
392,0.619671
393,0.769217
394,0.768356
395,0.698929
396,0.568447
397,0.685367
398,0.738536
399,0.646367
400,0.663962
401,0.613991
402,0.622411
403,0.599806
404,0.773228
405,0.800955
406,1.111293
407,0.831342
408,0.704759
409,0.816662
410,0.620026
411,0.572333
412,0.562757
413,0.897228
414,0.774352
415,1.010865
416,0.792201
417,1.066348
418,1.154243
